REGISTRO;PRODUTO;TIPO DE PRODUTO ;APRESENTACAO;CLASSE TERAPEUTICA;CNPJ;LABORATORIO;PF Sem Impostos;TARJA
1,71E+12;BAYCUTEN N;Novo;10 MG/G + 0,443 MG/G CREM DERM CT BG AL X 40 G;D07B2 - CORTICOESTERÓIDES ASSOCIADOS A ANTIMICOTICOS;18.459.628/0001-15;BAYER S.A.;19,74;Tarja  Vermelha
9,97E+12;PRODUTO DE MEDICAMENTO PARA TESTE;Genérico;"APRESENTAÇÃO 01&nbsp;02";R03C1 - ANTIASMÁTICOS/DPOC ANTIINFLAMATORIOS NÃO ESTEROIDAIS RESPIRATÓRIOS INALANTE;33.683.202/0001-34;VISA ESTADUAL SP TESTE;201;Tarja  Vermelha
1,02E+12;ORENCIA;Biológico;125 MG/ML SOL INJ CT 4 SER PREENC VD TRANS + DISPOSITIVO ULTRASAFE PASSIVE + EXTENSORES DE APOIO;M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS;56.998.982/0001-07;BRISTOL-MYERS SQUIBB FARMACÊUTICA LTDA;4914,04;Tarja  Vermelha
1,02E+12;ORENCIA;Biológico;125 MG/ML SOL INJ CT 1 SER PREENCHIDA;M01C0 - AGENTES ANTI-REUMÁTICOS ESPECÍFICOS;56.998.982/0001-07;"""";1228,49;Tarja  Vermelha
1,13E+12;VERZENIOS;Novo;50 MG COM REV CT BL AL AL X 30;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;2077,84;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;50 MG COM REV CT BL AL AL X 60;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;4155,68;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;100 MG COM REV CT BL AL AL X 30;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;4155,68;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;100 MG COM REV CT BL AL AL X 60;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;8311,34;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;150 MG COM REV CT BL AL AL X 30;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;5967,2;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;150 MG COM REV CT BL AL AL X 60;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;11934,41;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;200 MG COM REV CT BL AL AL X 30;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;7452;Tarja Vermelha(*)
1,13E+12;VERZENIOS;Novo;200 MG COM REV CT BL AL AL X 60;L01H0 - INIBIDORES DE PROTEINA QUINASE;43.940.618/0001-44;ELI LILLY DO BRASIL LTDA;14903,99;Tarja Vermelha(*)
1,16E+12;CALQUENCE;Novo;100 MG CAP DURA CT BL AL AL X 60;L1H9 - INIBIDORES PREOTEÍNA KINASE ANTINEOPLÁSICOS, OUTROS;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA;38240,57;Tarja Vermelha(*)
1,71E+12;GLUCOBAY;Biológicos;50 MG COM CT BL AL/AL X 30;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;18.459.628/0001-15;BAYER S.A.;31,17;Tarja  Vermelha
1,71E+12;GLUCOBAY;Biológicos;100 MG COM CT BL AL/AL X 30;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;18.459.628/0001-15;BAYER S.A.;46,53;Tarja  Vermelha
1,36E+12;AGLUCOSE;Similar;50 MG COM CT BL AL AL X 30;A10L0 - ANTIDIABÉTICOS INIBIDORES ALFA-GLUCOSIDASE;00.923.140/0001-31;EMS SIGMA PHARMA LTDA;19,63;Tarja  Vermelha
